hashtag,parent_hashtag,category,w1,3d1,3d2,3d3,zipper,charging
manchestercity,football,object,True,True,True,True,True,True
manchesterunited,football,object,True,True,True,True,True,True
mandala,abstract,object,False,False,True,False,False,False
manga,,object,False,False,False,True,True,True
mangle,fivenightsatfreddy,object,True,False,False,False,False,False
manhua,,object,False,False,False,True,True,True
maomao,kusuriyanohitorigoto,object,False,True,False,False,False,False
marceline,adventuretime,object,False,False,False,True,True,True
marijuana,leaf,object,False,True,True,False,False,False
mario,game,object,True,True,True,True,True,True
marvel,film,object,True,True,True,True,True,True
mask,cool,object,True,True,True,True,True,True
mbappe,football,object,False,False,False,True,True,True
mbappé,football,object,True,True,True,False,False,False
mclaren,car,object,False,False,False,True,True,True
mclarenp1,car,object,True,False,False,False,False,False
meditation,nature,object,True,True,True,True,True,True
megumifushiguro,jujutsukaisen,object,False,False,False,True,True,True
mejiromcqueen,umamusume,object,False,False,True,False,False,False
meliodas,thesevendeadlysins,object,False,True,True,False,False,False
melody,sanrio,object,False,True,True,False,False,False
meme,quote,object,True,True,True,True,True,True
memorialday,holiday,object,True,True,True,False,False,False
mercedes,car,object,False,True,True,True,True,True
messi,football,object,True,True,True,True,True,True
metroman,cartoon,object,False,False,False,True,True,True
mex,football,object,False,False,False,True,True,True
mexico,religion,object,True,False,False,True,True,True
mexiconationalteam,football,object,True,True,True,False,False,False
michaeljackson,celeb,object,False,False,False,True,True,True
michaeljordan,basketball,object,False,False,False,True,True,True
michaelmyers,halloween,object,True,True,True,True,True,True
mickeymouse,waltdisney,object,True,True,True,False,False,False
midautumn,holiday,object,True,True,True,False,False,False
middlefinger,meme,object,True,True,False,True,True,True
mikasa,attackontitan,object,False,True,False,False,False,False
mikasaackerman,attackontitan,object,True,False,False,False,False,False
mikey,tokyorevengers,object,True,False,False,False,False,False
milwaukeebucks,basketball,object,False,False,False,True,True,True
minato,naruto,object,True,True,False,False,False,False
minatoaqua,anime,object,False,True,True,False,False,False
minecraft,game,object,True,True,True,True,True,True
minimalxmas,christmas,object,True,True,False,True,True,True
minion,cartoon,object,True,True,True,False,False,False
minions,cartoon,object,False,False,False,True,True,True
minniemouse,waltdisney,object,True,True,False,False,False,False
mitsuri,demonslayer,object,True,False,True,False,False,False
mobilelegends,game,object,True,False,False,True,True,True
mobpsycho100,anime,object,False,False,False,True,True,True
momoayase,dandadan,object,False,False,False,True,True,True
money,other,object,True,True,True,True,True,True
monkey,animal,object,True,False,False,True,True,True
monster,cool,object,True,True,True,False,False,False
monster8,anime,object,True,True,True,False,False,False
monsterstrike,game,object,True,True,True,False,False,False
moon,nature,object,True,True,True,True,True,True
morocconationalteam,football,object,False,True,False,False,False,False
mortalkombat,game,object,True,True,True,True,True,True
mother'sday,holiday,object,True,True,True,True,True,True
motivatequote,quote,object,False,False,False,True,True,True
motorbike,vehicle,object,True,True,True,True,True,True
mountain,nature,object,True,True,True,True,True,True
mouse,animal,object,True,True,False,False,False,False
msdhoni,baseball,object,False,True,False,False,False,False
muichiro,demonslayer,object,True,True,True,False,False,False
music,cool,object,True,True,True,False,False,False
musicvibes,,object,False,False,False,True,True,True
muzan,demonslayer,object,True,False,True,False,False,False
myheroacademia,anime,object,True,True,True,True,True,True
